Инструмент;Кредитное плечо        квал. инвестора;Обеспечение;Кредитное плечо неквал. инвестора;Обеспечение;Уровень stop out
EUR/USD;1:40;223548;1:32;279435;81%
GBP/USD;1:40;255862;1:32;319827;81%
USD/JPY;1:40;190055;1:32;237569;81%
USD/CHF;1:40;190055;1:32;237569;81%
USD/CAD;1:40;190055;1:32;237569;81%
AUD/USD;1:40;134126;1:32;167657;81%
NZD/USD;1:40;113495;1:32;141869;81%
AUD/CAD;1:40;134126;1:32;167657;81%
AUD/NZD;1:40;134126;1:32;167657;81%
AUD/JPY;1:40;134126;1:32;167657;81%
GBP/NZD;1:40;255862;1:32;319827;81%
AUD/CHF;1:35;153287;1:32;167657;81%
EUR/AUD;1:40;223548;1:32;279435;81%
CHF/JPY;1:40;245204;1:32;306505;81%
EUR/GBP;1:40;223548;1:32;279435;81%
EUR/CHF;1:40;223548;1:32;279435;81%
EUR/JPY;1:40;223548;1:32;279435;81%
EUR/NZD;1:40;223548;1:32;279435;81%
EUR/CAD;1:40;223548;1:32;279435;81%
EUR/NOK;1:40;223548;1:32;279435;81%
GBP/AUD;1:40;255862;1:32;319827;81%
GBP/CAD;1:40;255862;1:32;319827;81%
GBP/CHF;1:40;255862;1:32;319827;81%
GBP/JPY;1:40;255862;1:32;319827;81%
USD/NOK;1:40;190055;1:32;237569;81%
USD/ZAR;1:20;380111;1:20;380111;81%
USD/RUB;1:30;253407;1:30;253407;81%
EUR/RUB;1:31;288449;1:31;288449;81%
USD/MXN;1:20;380111;1:20;380111;81%
USD/DKK;1:10;760221;1:10;760221;81%
EUR/DKK;1:10;894191;1:10;894191;81%
USD/SEK;1:40;190055;1:32;237569;81%
EUR/SEK;1:40;223548;1:32;279435;81%
CNY/RUB;1:32;34490;1:32;34490;81%
TRY/RUB;1:10;16359;1:10;16359;81%
USD/CNY;1:40;190055;1:32;237569;81%
EUR/CNY;1:40;223548;1:32;279435;81%
USD/TRY;1:10;760221;1:10;760221;81%
EUR/TRY;1:10;894191;1:10;894191;81%
USD/SGD;1:40;190055;1:32;237569;81%
USD/ILS;1:20;380111;1:20;380111;81%
XAU/USD;1:19;2006771;1:19;2006771;81%
SBER;1:20;1564;1:20;1564;81%
LKOH;1:14;3691;1:14;3691;81%
AAPL;1:10;2003;1:10;2003;81%
AMZN;1:10;1550;1:10;1550;81%
TSLA;1:8;3897;1:8;3897;81%
GOOGL;1:10;2299;1:10;2299;81%
MSFT;1:10;3047;1:10;3047;81%
NVDA;1:9;1587;1:9;1587;81%
LCO;1:13;41625;1:13;41625;81%
SPX;1:20;26124;1:20;26124;81%
NDX;1:18;104940;1:18;104940;81%
XAG/USD;1:10;2998562;1:10;2998562;81%
ROSN;1:14;2812;1:14;2812;81%
NVTK;1:13;90;1:13;90;81%
GAZP;1:14;898;1:14;898;81%
GMKN;1:10;1537;1:10;1537;81%
MOEX;1:16;1132;1:16;1132;81%
BAC;1:10;400;1:10;400;81%
CSCO;1:10;597;1:10;597;81%
PEP;1:10;1246;1:10;1246;81%
KO;1:10;600;1:10;600;81%
MCD;1:10;2518;1:10;2518;81%
NLMK;1:13;856;1:13;856;81%
PHOR;1:20;332;1:20;332;81%
MGNT;1:14;240;1:14;240;81%
MTSS;1:18;1292;1:18;1292;81%
AFLT;1:15;373;1:15;373;81%
ALRS;1:16;250;1:16;250;81%
MTLR;1:12;620;1:12;620;81%
HD;1:10;2883;1:10;2883;81%
AVGO;1:7;3655;1:7;3655;81%
ADBE;1:10;1970;1:10;1970;81%
HPE;1:10;163;1:10;163;81%
CVX;1:10;1418;1:10;1418;81%
DELL;1:8;1132;1:8;1132;81%
INTC;1:5;684;1:5;684;81%
TATN;1:14;389;1:14;389;81%
SNGS;1:19;114;1:19;114;81%
CHMF;1:14;684;1:14;684;81%
PIKK;1:9;5144;1:9;5144;81%
IRAO;1:20;165;1:20;165;81%
RUAL;1:12;318;1:12;318;81%
RTKM;1:14;456;1:14;456;81%
AFKS;1:11;128;1:11;128;81%
VKCO;1:11;2870;1:11;2870;81%
FLOT;1:13;585;1:13;585;81%
JPM;1:10;2343;1:10;2343;81%
UNH;1:6;3653;1:6;3653;81%
PG;1:10;1205;1:10;1205;81%
V;1:10;2412;1:10;2412;81%
MA;1:10;3937;1:10;3937;81%
PFE;1:10;203;1:10;203;81%
XOM;1:10;1154;1:10;1154;81%
DIS;1:10;803;1:10;803;81%
PYPL;1:9;347;1:9;347;81%
WMT;1:10;979;1:10;979;81%
VTBR;1:14;610;1:14;610;81%
YDEX;1:17;282;1:17;282;81%
T;1:16;219;1:16;219;81%
NFLX;1:10;592;1:10;592;81%
WFC;1:10;664;1:10;664;81%
MRK;1:10;919;1:10;919;81%
COIN;1:5;2494;-;-;81%
MSTR;1:6;1577;-;-;81%
IBIT;1:10;2861;-;-;81%
